ID,Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,"CONSO(Watt)",I,"PDUOndulé","PDUNormal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FCTotal","FCCalculé","FCUtilisé","FCFutur","RJ45Total","RJ45Calculé","RJ45Utilisé","RJ45Futur","10GbpsFutur","RJ45CM","IPMI Dédié","IPMIUtilisé","IPMIFutur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
66,TPB -1,DEM2,LDAPSMB-06,Serveur,1,Rackable,4,DELL,PowerEdge R900,6NVTQ3J,770,"3,35",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,,Stock--,2,2,2,0,,4,2,0,,4,0,,0,,,,,,1FC,1FC,Err :502,Err :502,Err :502,Err :502,Err :502,-1,-1,,,,Stocker
67,TPB -1,DEM2,NSS-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,JSX4H4J,228,"0,99",,,∞,,Virtualisation de stockage,DOIP,Déménagement,1,S2,1,5,S2-1-5,6,6,6,6,,6,4,2,,4,0,,1,2FC,2FC,2FC,2RJ,,,,-2,-2,-2,2,Err :502,Err :502,Err :502,10.167.1.38,,Connection time out,?
68,TPB -1,DEM2,NTP-02,Serveur,1,Rackable,1,DELL,PowerEdge R410,3MPH05J,153,,,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,2,2,,2,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.160.42,,bond0(eth0-eth1),Déménagement en l'état
69,TPB -1,DEM2,RELTRANET-02,Serveur,1,Rackable,4,DELL,PowerEdge 6850,HMG6B3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,1,2,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.34,,Eth0(10.167.128.34),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.128.34"
70,TPB -1,DEM2,RELTRANET-04,Serveur,1,Rackable,4,DELL,PowerEdge 6850,2NG6B3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,1,2,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.36,,Eth0(10.167.128.36),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.128.36"
71,TPB -1,DEM2,SGBD-PRODM2-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,GWT3Y4J,418,"1,82",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,,Stock--,2,2,2,0,,8,2,0,,4,0,,0,2RJ,2FC,,,,2SAS,,2,-2,Err :502,Err :502,Err :502,2,Err :502,10.167.132.20,,,Stocker
72,TPB -1,DEM3,DAVYCAL-04,Serveur,1,Rackable,2,DELL,PowerEdge R810,34Y6X4J,424,"1,84",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,0,0,0,0,,4,1,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.124.164 (pas de résolution),Davy-04,Eth0 (10.167.124.164)+vlan1534,"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.124.164. Appliquer le vlan1534 sur le bond0"
73,TPB -1,DEM3,LDAPBA-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,GFC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,6,2,2,,4,0,,1,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.66,,Eth0(prod) eth1(10.128.255.2/24),?
74,TPB -1,DEM3,LDAPMAHA-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,2GC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,6,2,2,,4,0,,1,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.2,,Eth0(prod) eth1(192.168.251.132/24),?
75,TPB -1,DEM3,LDAPSMB-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,FFC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,Stock,,,Stock--,0,0,0,0,,6,1,0,,4,0,,0,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.138,,,Stocker
76,TPB -1,DEM3,LDAPSMB-08,Serveur,1,Rackable,2,DELL,PowerEdge R820,8KMKF02,364,"1,58",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,0,0,,4,1,2,,4,1,,1,,,1FC,1FC,,,,Err :502,Err :502,-1,-1,Err :502,Err :502,Err :502,10.167.128.200,,eth0 (je trouve 8 RJ utilisables contre 4 dans l'inventaire),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip 10.167.128.200"
77,TPB -1,DEM3,PROXYPRO-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,96XX75J,185,"0,80",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.161.126,,bond0(eth0-eth1) +vlan1662 sur bond0,Déménagement en l'état
78,TPB -1,DEM3,RELGREYNG-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,JFC2F4J,228,"0,99",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,6,1,2,,4,0,,1,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.126.68,,Eth0(10.167.126.68),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.126.68"
79,TPB -1,DEM3,RELTERNET-02,Serveur,1,Rackable,4,DELL,PowerEdge 6850,46YNK3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,2,2,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.126.14,,"Eth0(10.167.126.14/24), eth1(10.167.127.14/24)","Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.133.7. Ajouter le vlan1127(10.167.127.14) taggé sur le port du switch et le bond0"
80,TPB -1,DEM3,RELTERNET-04,Serveur,1,Rackable,4,DELL,PowerEdge 6850,G5YNK3J,760,"3,30",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,2,2,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.126.16,,"Eth0(10.167.126.16/24), eth1(10.167.127.16/24)","Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.133.7. Ajouter le vlan1514(10.167.127.14) taggé sur le port du switch et le bond0"
81,TPB -1,DEM3,RP-INTRA-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,3643H4J,174,"0,76",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,1,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.150.12,,Eth0 (10.167.150.12),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.130.12"
82,TPB -1,DEM3,RP-INTRA-04,Serveur,1,Rackable,1,DELL,PowerEdge R610,6H0LR4J,96,"0,42",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,1,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.150.14,,Eth0 (10.167.150.14),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.130.14"
83,TPB -1,DEM3,RP-INTRA-06,Serveur,1,Rackable,1,DELL,PowerEdge R610,FX6M15J,167,"0,73",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,1,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.150.16,,Eth0 (10.167.150.16),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.130.16"
84,TPB -1,DEM3,SAFITA-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,FBD2F4J,178,"0,77",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,8,1,2,,4,0,,1,2RJ,2RJ,,,,,,2,2,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.122.4,,Connection time out – ICMP NOK,?
85,TPB -1,DEM3,ZP-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,G3Y6X4J,416,"1,81",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,0,0,0,0,,4,1,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.124.214,,Eth0 (10.167.124.214),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.124.214"
86,TPB -1,DEM4,BO-PROD-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,J1WKR4J,172,"0,75",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.133.2,,Je ne peux pas m'authentifier sur la machine,?
87,TPB -1,DEM4,DEBMIROIR-NAT-02,Serveur,1,Rackable,2,DELL,PowerEdge 2950,5YN054J,350,"1,52",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,1,2,,2,0,,0,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.64.12 (pas de résolution),Debmiroir-02,Eth0(10.167.64.12),?
88,TPB -1,DEM4,H-ACAI-06,Serveur,1,Rackable,2,DELL,PowerEdge R820,4PH4ZZ1,196,"0,85",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,8,6,6,,4,1,,1,4RJ,1FC,,,,1FC,,4,-1,Err :502,Err :502,Err :502,-1,Err :502,10.167.129.127,,Je ne peux pas m'authentifier sur la machine,?
89,TPB -1,DEM4,H-ACAI-08,Serveur,1,Rackable,2,DELL,PowerEdge R820,GPH4ZZ1,210,"0,91",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,2,2,2,2,,8,6,6,,4,1,,1,4RJ,1FC,,,,1FC,,4,-1,Err :502,Err :502,Err :502,-1,Err :502,10.167.129.128,,Je ne peux pas m'authentifier sur la machine,?
90,TPB -1,DEM4,H-INFRA-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,G16975J,422,"1,83",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,4,4,2,2,,8,6,6,,4,1,,1,4RJ,,,,2FC,2FC,,4,Err :502,Err :502,Err :502,-2,-2,Err :502,10.167.129.92,,Je ne peux pas m'authentifier sur la machine,?
91,TPB -1,DEM4,LB-ACAI-04,Serveur,1,Rackable,1,DELL,PowerEdge R410,8WV6X4J,160,"0,70",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,2,1,2,,2,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.131.5,,Eth0(10.167.131.5),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.131.5"
92,TPB -1,DEM4,LB-INTER-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,C2F925J,105,"0,46",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.165.6,,"Eth0(10.167.165.6/24), eth1(10.167.166.6/24)","Créer un bond0 avec em1 et em2, lui affecter l'ip  10.167.165.6. Ajouter le vlan1166(10.167.166.6) taggé sur le port du switch et le bond0"
93,TPB -1,DEM4,LB-M2-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,92F925J,118,"0,51",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,4,1,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.124.112,,Eth0(10.167.124.112),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.124.112"
94,TPB -1,DEM4,LOG-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,DFC2F4J,228,"0,99",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,6,2,2,,4,0,,1,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.130.11,,Eth0(10.167.130.11),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.130.11"
95,TPB -1,DEM4,M2-HACLUSTER-QUAL-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,24XWD5J,110,"0,48",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,7,S2-1-7,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.124.237,,"Eth0(10.167.124.237), eth1(192.168.251.130/24)",?
96,TPB -1,DEM4,PNE-EOLE-02,Serveur,1,Rackable,1,DELL,PowerEdge R610,7G2LR4J,145,"0,63",,,∞,,Cluster admin,DOIP,Déménagement,4,Stock,,,Stock--,0,0,0,0,,4,1,0,,4,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.66.4,,,Stocker
97,TPB -1,DEM4,PNE-EOLE-04,Serveur,1,Rackable,2,DELL,PowerEdge R710,J5QX75J,210,"0,91",,,,?,Singleton admin,DOIP,Déménagement,4,Stock,2,,Stock-2-,0,0,0,0,,4,2,0,,4,1,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.66.10,,,Stocker
98,TPB -1,DEM4,PROXYAUTH-04,Serveur,1,Rackable,2,DELL,PowerEdge R710,5SQH05J,152,"0,66",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.160.106,,Eth0(10.167.160.106),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.160.106"
99,TPB -1,DEM4,RP-ADER-02,Serveur,1,Rackable,2,DELL,PowerEdge 2950,4HV013J,350,"1,52",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,8,1,2,,2,0,,0,2RJ,2RJ,2RJ,,,,,2,2,2,Err :502,Err :502,Err :502,Err :502,10.167.155.4,,Eth6(10.167.155.4),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.155.4 (à modifier au plus tôt)"
100,TPB -1,DEM4,RP-INTER-02,Serveur,1,Rackable,2,DELL,PowerEdge R710,H1WKR4J,180,"0,78",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,5,S2-1-5,0,0,0,0,,4,2,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.165.4,,"Eth0(10.167.165.4), eth1(10.167.166.4)","Créer un bond0 avec em1 et em2, lui affecter l'ip  10.167.165.4. Ajouter le vlan1166(10.167.166.4) taggé sur le port du switch et le bond0"
101,TPB -1,DEM4,SGBD-SITADEL-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,HXQ6X4J,416,"1,81",,,,,Singleton DG,DOIP,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,4,1,2,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.135,,Eth0(10.167.132.135),"Créer un bond0 avec eth0 et eth1, lui affecter l'ip  10.167.132.135"
102,TPB -1,DEM4,VMAC-02,Serveur,1,Rackable,2,DELL,PowerEdge 2950,4P3DW3J,350,"1,52",,,,,bureautique,DOIP/ATL,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,6,1,2,,2,0,,0,2RJ,2RJ,,,,,,2,2,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.63.114,,Je ne peux pas m'authentifier sur la machine,?
103,TPB -1,DEM5,CGDD-04,Serveur,1,Rackable,5,DELL,PowerEdge 2900,5ZXS25J,930,"4,04",,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,2,1,1,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
104,TPB -1,DEM5,CGDD-05,Robot,1,Rackable,2,DELL,PowerVault 124T,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,1,0,0,,1,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
105,TPB -1,DEM5,CGDD-06,Robot,1,Rackable,2,QUANTUM,SuperLoader 3,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,1,0,0,,1,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
106,TPB -1,DEM5,CGDD-07,Librairie,1,Rackable,2,ARKEIA,EdgeFort,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,1,1,1,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
107,TPB -1,DEM5,CGDD-08,Serveur,1,Rackable,2,DELL,PowerEdge R710,7V1Z75J,177,"0,77",,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,4,7,1,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
108,TPB -1,DEM5,CGDD-09,Serveur,1,Rackable,2,DELL,PowerEdge R710,8V1Z75J,186,"0,81",,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,4,6,1,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
109,TPB -1,DEM5,CGDD-10,Baie de disques,1,Rackable,2,DELL,PS 4100,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,6,4,0,,6,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
110,TPB -1,DEM5,CGDD-11,Baie de disques,1,Rackable,2,DELL,PS 4100,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,6,6,0,,6,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
111,TPB -1,DEM5,CGDD-SW1,Commutateur LAN,1,Rackable,1,DELL,PowerConnect 6424,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,0,0,0,,,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
112,TPB -1,DEM5,CGDD-SW2,Commutateur LAN,1,Rackable,1,DELL,PowerConnect 6424,,,,,,,,Singleton DG,CGDD,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,0,0,0,,,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
113,TPB -1,DEM5,DGPR – S3IC PRE_PROD,Serveur,1,Rackable,1,HP,DL 160 G6,,,,,,,,Singleton DG,DGPR,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,2,1,1,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
114,TPB -1,DEM5,DGPR-WIN 2012 S3IC,Serveur,1,Rackable,1,HP,DL 160 G6,,,,,,,,Singleton DG,DGPR,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,2,1,1,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
115,TPB -1,DEM5,Disponible (Récup SMILE),Serveur,1,Rackable,2,DELL,PowerEdge R710,4SQH05J,,,,,,,Stock,DOIP,Déménagement,4,Stock,,,Stock--,0,0,0,0,,4,1,0,,4,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
116,TPB -1,DEM5,VMAC-03,Serveur,1,Rackable,2,DELL,PowerEdge R710,4SQH05J,186,,,,,,bureautique,DOIP/ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,2,2,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
117,TPB -1,DEM6,LDAPSMB-09,Serveur,1,Rackable,2,DELL,PowerEdge R820,9ZQPQ52,280,"1,22",,,∞,,Cluster Messagerie,DOIP,Déménagement,4,S1,1,,S1-1-,1,1,0,0,,8,2,2,,4,1,,1,,,4RJ,,,1FC,,Err :502,Err :502,4,Err :502,Err :502,-1,Err :502,10.167.128.201,,"Eth0(10.167.128.201),eth1(10.167.255.3)","Créer un bond0 avec em1 et em2, lui affecter l'ip  10.167.133.6. Ajouter le vlan1804(10.167.255.3) taggé sur le port du switch et le bond0"
118,TPB -1,DEM6,LDAPSMB-10,Serveur,1,Rackable,2,DELL,PowerEdge R820,5ZQPQ52,280,"1,22",,,∞,,Cluster Messagerie,DOIP,Déménagement,2,S2,1,3,S2-1-3,1,1,0,0,,8,2,2,,4,1,,1,,,4RJ,,,1FC,,Err :502,Err :502,4,Err :502,Err :502,-1,Err :502,10.167.128.202,,"Eth0(10.167.128.202),eth1(10.167.255.4)","Créer un bond0 avec em1 et em2, lui affecter l'ip  10.167.128.202. Ajouter le vlan1804(10.167.255.4) taggé sur le port du switch et le bond0"
119,TPB -1,DEM6,ORACLE-04,Serveur,1,Rackable,2,DELL,PowerEdge R730,G0XNQ52,308,"1,34",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.34,,"Redhat bond0(eth0-eth1, 10.167.132.34 ) +vlan1504(10.167.4.34)",Déménagement en l'état
120,TPB -1,DEM6,ORACLE-05,Serveur,1,Rackable,2,DELL,PowerEdge R730,31XNQ52,308,"1,34",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.35,,Connection time out – ICMP NOK,?
121,TPB -1,DEM6,ORACLE-06,Serveur,1,Rackable,2,DELL,PowerEdge R730,HZWNQ52,308,"1,34",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.36,,Connection time out – ICMP NOK,?
122,TPB -1,DEM6,ORACLE-07,Serveur,1,Rackable,2,DELL,PowerEdge R730,50WNQ52,308,"1,34",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.37,,Connection time out – ICMP NOK,?
123,TPB -1,DEM6,ORACLE-08,Serveur,1,Rackable,2,DELL,PowerEdge R730,C0XNQ52,308,"1,34",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.38,,Connection time out – ICMP NOK,?
124,TPB -1,DEM6,ORACLE-09,Serveur,1,Rackable,2,DELL,PowerEdge R730,90XNQ52,308,"1,34",,,,,Singleton admin,DOIP,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,2,2,,4,1,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.132.39,,"bond0(eth0-eth1,10.167.132.39) + vlan1504 (10.167.4.39)",?
125,TPB -1,DEM6,PG-REPLICATION-01,Serveur,1,Rackable,2,DELL,PowerEdge R820,20RPQ52,280,"1,22",,,∞,,Cluster admin,DOIP,Déménagement,4,S1,1,,S1-1-,1,1,0,0,,8,2,2,,4,1,,1,,,4RJ,,,1FC,,Err :502,Err :502,4,Err :502,Err :502,-1,Err :502,10.167.132.124,Replication-pg-01,"bond0(eth0-eth1,10.167.132.124) + Bond0.1504 (10.167.4.124)",Déménagement en l'état
126,TPB -1,DEM6,PG-REPLICATION-02,Serveur,1,Rackable,2,DELL,PowerEdge R820,GYQPQ52,280,"1,22",,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,3,S2-1-3,1,1,0,0,,8,2,2,,4,1,,1,,,4RJ,,,1FC,,Err :502,Err :502,4,Err :502,Err :502,-1,Err :502,10.167.132.125,Replication-pg-02,Je ne peux pas m'authentifier sur la machine,?
127,TPB -1,DEM6,PG-REPLICATION-03,Serveur,1,Rackable,2,DELL,PowerEdge R820,GZQPQ52,280,"1,22",,,∞,,Cluster admin,DOIP,Déménagement,4,S1,2,,S1-2-,1,1,0,0,,8,2,2,,4,1,,1,,,4RJ,,,1FC,,Err :502,Err :502,4,Err :502,Err :502,-1,Err :502,10.167.132.126,Replication-pg-03,Je ne peux pas m'authentifier sur la machine,?
128,TPB -1,DIEPPE,BAIE AJARIS,Baie de disques,1,Rackable,3,IBM,EXP 400,,500,,,,,,Singleton DG,ATL,A dégager,0,,,,--,0,0,0,0,,1,,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
129,TPB -1,DIEPPE,DGPR,Baie de disques,1,Rackable,3,DELL,PowerVault MD1000,,480,"2,09",,,,,Singleton DG,DGPR,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,1,1,1,,1,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
130,TPB -1,DIEPPE,DGPR-03,Serveur,1,Rackable,2,DELL,PowerEdge R810,70J5C5J,290,"1,26",,,,,Singleton DG,DGPR,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,4,1,1,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
131,TPB -1,DIEPPE,DGPR-04,Serveur,1,Rackable,1,DELL,PowerEdge R610,1NM5C5J,100,"0,43",,,,,Singleton DG,DGPR,Déménagement,3,S1,3,,S1-3-,0,0,0,0,,4,1,1,,4,,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.68.20,,Connection time out – ICMP NOK,?
