Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,CONSO(Watt),I,PDUOndulé,PDUNormal,cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,"FCTotal","FCUtilisé","RJ45Total","RJ45Utilisé","RJ45Futur","IPMIUtilisé","IPMIFutur","RJ45CM","IPMIDédié",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,
TPA 12,TPA12,HP-SAUV-2,Baie de disques,1,Rackable,2,HP,StorageWorks D2600 SAS,7CE414P0W1,300,,,,,,ATL – sauvegarde,ATL,Déménagement,4,S1,3,,0,,0,,,,,,,,,,,,,,,,,,
TPA 12,TPA12,HP-SAUV-3,Baie de disques,1,Rackable,2,HP,StorageWorks D2600 SAS,7CE414P0DE,300,,,,,,ATL – sauvegarde,ATL,Déménagement,4,S1,3,,0,,0,,,,,,,,,,,,,,,,,,
TPA 12,TPA12,REPL-APPLIS-0,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,6BNKWP1,440,,,,,,ATL – applicatif,ATL,Déménagement,4,S1,3,,0,,0,,,,,,,,,,,,,,,,,,
TPA 12,TPA12,REPL-APPLIS-1,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,DCPKWP1,440,,,,,,ATL – applicatif,ATL,Déménagement,4,S1,3,,0,,0,,,,,,,,,,,,,,,,,,
TPA 12,TPA12,TINA,Serveur,1,Rackable,2,DELL,PowerEdge R710,27HNP4J,570,,,,,,ATL – sauvegarde,ATL,Déménagement,4,S1,3,,0,,5,,,,4,,,,,,,,,,,,,,
TPA 12,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,GL9HYH1,440,,,,,,stock,ATL,Déménagement,4,Stock,,,0,,0,,,,,,,,,,,,,,,,,,
TPA 12,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,C27XMQ1,440,,,,,,stock,ATL,Déménagement,4,Stock,,,0,,0,,,,,,,,,,,,,,,,,,
TPA 12,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,FF7CVL1,440,,,,,,stock,ATL,Déménagement,4,Stock,,,0,,0,,,,,,,,,,,,,,,,,,
TPB -1,A venir,H-DNSRIE-CACHEPUB-PARIS02,,1,Rackable,2,DELL,,,,,,,∞,,Cluster admin,DOIP,Déménagement,2,S2,1,,,,,,,,,,,,,,,,,,,,,,
TPB -1,ATL,"Dxi 6702 – EXT1, 2, 3 System Node",Baie de disques,4,Rackable,9,QUANTUM,Dxi 6702,,1260,"5,48",,,,,Sauvegarde,DOIP,Déménagement,4,S1,2,4,4,,2,,,,2,,4FC,,,,,,,,,,,,
TPB -1,ATL,MIZAR,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,HVN5G5J,1080,"4,70",,,∞,,bureautique,ATL,Déménagement,4,S1,3,0,0,,10,,,,8,2,,,,,,,,,,,,,
TPB -1,ATL,R910-1.AUTH.RITAC.I2,Serveur,1,Rackable,4,DELL,PowerEdge R910,GF3K15J,540,"2,35",,,∞,,bureautique,ATL,Déménagement,4,S1,3,0,0,,11,,,,4,1,2RJ,0,4RJ,2RJ,,,,,,,,,
TPB -1,ATL,R910-2.AUTH.RITAC.I2,Serveur,1,Rackable,4,DELL,PowerEdge R910,HF3K15J,540,"2,35",,,∞,,bureautique,ATL,Déménagement,4,S1,3,0,0,,11,,,,4,1,2RJ,0,2RJ,2RJ,,,,,,,,,
TPB -1,ATL,VENUSIA,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,DVGBF02,1080,"4,70",,,∞,,bureautique,ATL,Déménagement,4,S1,3,0,0,,10,,,,8,,,,,,,,,,,,,,
TPB -1,CGEDD,CGEDD – Netapp,Baie de disques,2,Rackable,6,NETAPP,FAS 2040 / DS 4243,,1350,"5,87",,,,,Singleton DG,CGEDD,Déménagement,3,S1,3,0,0,,6,,,,6,,,,,,,,,,,,,,
