ID,Localisation,Rack,Nom du matériel,MODELE,Type,Nb Elts,Architecture,U,MARQUE,numéro de série,"CONSO (Watt)",I,"PDU Ondulé","PDU Normal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FC Total","FC Calculé","FC Utilisé","FC Futur","RJ45 Total","RJ45 Calculé","RJ45 Utilisé","RJ45 Futur","10Gbps Futur","RJ45 CM","IPMI Dédié","IPMI Utilisé","IPMI Futur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
202,TPB -1,ETAGERES,DGUHC-DEV1 (DGALN),PowerEdge 2900,Serveur,1,Tour,0,DELL,9BS1H2J,930,"4,04",,,,,Singleton DG,DGALN,Virtualisé,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Virtualiser et déclasser
203,TPB -1,ETAGERES,DNS-MAITRE,PowerEdge 2400,Serveur,1,Tour,0,DELL,CGFT50J,330,"1,43",,,,,bureautique,DOIP/ATL,A virtualiser,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
168,TPB -1,DON 1,DS4500 /1,DS4500,Baie de disques,8,Rackable,24,IBM,,3279,"14,26",,,,,Stockage IBM,DOIP,A dégager,0,,,,--,0,0,0,0,,2,0,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.57,,,Déclasser
174,TPB -1,DON 2,DS4500 /2,DS4500,Baie de disques,8,Rackable,24,IBM,,390,"1,70",,,,,Stockage IBM,DOIP,A dégager,0,,,,--,0,0,0,0,,2,0,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.58,,,Déclasser
284,TPB -1,ROUEN,FRANCIUM,Proliant DL360,Serveur,1,Rackable,1,HP,Gbj539003M,325,"1,41",,,denyall,,Cluster admin,DOIP,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,1,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502, 192.168.145.41,,,Déclasser
285,TPB -1,ROUEN,GALLIUM,Proliant DL360,Serveur,1,Rackable,1,HP,Gbj538063D,,"0,00",,,denyall,,Cluster admin,DOIP,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,1,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,192.168.145.42,,,Déclasser
204,TPB -1,ETAGERES,MAJ.EQUILINUX.ALERTE.I2,PowerEdge 2500,Serveur,1,Tour,0,DELL,10SC90J,600,"2,61",,,,,Singleton admin,DOIP,A dégager,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
144,TPB -1,DIVERS 1,MELANISSIMO-01,PowerEdge 2950,Serveur,1,Rackable,2,DELL,6BNSZ2J,350,"1,52",3.9,G2-D3,,,Singleton Messagerie,DOIP,A dégager,0,,,,--,0,0,0,0,,4,1,0,,2,0,,0,2RJ,,,,,,,2,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.124.201,,,Déclasser
205,TPB -1,ETAGERES,PS-OBS1,Escala PowerPC,Serveur,1,Tour,0,BULL,XAN-F05-00145,400,"1,74",,,,,Singleton DG,DOIP/DOIF,Transfert interne,0,TPB -2,,,TPB -2--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.62.4,,Je ne peux pas m'authentifier sur la machine,?
171,TPB -1,DON 1,REHCTRL-01,DS4500,Contrôleur,1,Rackable,4,IBM,,230,"1,00",,,,,Stockage IBM,DOIP/DOIF,A dégager,0,,,,--,0,0,8,8,,2,2,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.129.57,,,Déclasser
